complaint_id,customer_id,complaint_type,complaint_date,status
73,2336,Transaction,2021-08-25,In_Progress
74,7071,Loan,2023-11-23,Unknown
75,7895,Other,2021-09-08,Resolved
76,1070,Loan,2022-02-19,Unknown
77,4220,Loan,2023-06-11,Unknown
78,8640,Other,2021-06-04,Resolved
79,5597,Other,2022-05-16,Pending
80,9854,Loan,2022-12-27,Pending
81,8865,Other,2023-07-13,Resolved
82,1753,Other,2023-04-14,Unknown
83,3248,Loan,2022-01-22,Resolved
84,4485,Other,2023-08-08,In_Progress
85,5518,Other,2023-04-21,Resolved
86,6307,Other,2023-01-06,Resolved
87,9191,Other,2021-06-07,Unknown
88,6226,Loan,2023-02-10,Resolved
89,2883,Transaction,2023-08-03,Pending
90,2427,Loan,2023-09-02,In_Progress
91,5940,Transaction,2023-05-28,In_Progress
92,4304,Other,2021-11-04,Unknown
93,1938,Other,2021-01-15,In_Progress
94,6270,Transaction,2022-04-08,Resolved
95,1080,Service,2023-03-26,Pending
96,74,Other,2022-08-19,Pending
97,2192,Other,2021-04-18,Pending
98,6814,Loan,2023-09-03,Pending
99,6830,Other,2021-03-19,Pending
100,328,Transaction,2023-03-23,Pending
101,865,Transaction,2021-12-12,Unknown
102,9168,Transaction,2023-06-07,In_Progress
103,1284,Other,2021-10-29,Resolved
104,2026,Service,2022-06-15,Unknown
105,1287,Service,2023-11-05,Pending
106,4931,Loan,2023-09-16,Unknown
107,6855,Transaction,2021-08-30,Unknown
108,5466,Transaction,2021-02-05,Pending
109,9624,Service,2021-02-03,Resolved
110,208,Other,2022-12-29,In_Progress
111,498,Service,2022-10-16,Unknown
112,318,Loan,2021-03-06,Pending
113,9160,Transaction,2021-04-18,Unknown
114,1621,Other,2022-01-18,In_Progress
115,5899,Other,2022-08-28,Resolved
116,542,Loan,2021-08-11,In_Progress
117,7646,Transaction,2022-02-05,Unknown
118,4491,Transaction,2021-03-02,In_Progress
119,9908,Other,2023-01-23,Unknown
120,986,Service,2021-03-11,Unknown
121,7786,Transaction,2022-03-08,Pending
122,2238,Transaction,2021-06-21,Pending
123,9628,Service,2022-11-11,In_Progress
124,6858,Other,2023-12-06,Unknown
125,1807,Transaction,2023-07-08,Unknown
126,5024,Other,2023-11-22,Pending
127,7441,Service,2023-12-02,Resolved
128,6610,Other,2022-09-16,Pending
129,1373,Transaction,2022-05-27,Pending
130,8135,Transaction,2022-08-29,Unknown
131,8345,Service,2021-07-09,Resolved
132,2957,Transaction,2023-03-29,Unknown
133,4209,Other,2021-04-01,Resolved
134,6501,Service,2023-05-13,Resolved
135,2093,Other,2021-11-20,Unknown
136,4387,Service,2023-06-15,Unknown
137,7431,Other,2023-11-30,Resolved
138,1734,Other,2021-08-14,Pending
139,2221,Loan,2023-03-04,In_Progress
140,1765,Other,2021-04-20,In_Progress
141,6590,Service,2021-10-07,Pending
142,4913,Other,2022-01-25,Unknown
143,754,Transaction,2023-08-31,Resolved
144,1107,Loan,2022-09-25,Resolved
145,2453,Transaction,2022-11-13,Resolved
146,591,Transaction,2023-10-13,In_Progress
147,667,Other,2022-06-05,Resolved
148,8197,Other,2021-01-17,Resolved
149,6295,Other,2022-08-09,Unknown
150,1710,Loan,2022-10-03,Resolved
151,5417,Transaction,2021-01-24,Pending
152,8661,Transaction,2022-10-02,Unknown
153,4289,Other,2021-05-16,Unknown
154,2761,Transaction,2022-06-26,Resolved
155,5463,Loan,2023-01-18,In_Progress
156,657,Transaction,2023-12-04,Pending
157,6670,Other,2022-04-22,Pending
158,8719,Service,2021-05-10,Unknown
159,3055,Transaction,2023-05-28,Pending
160,5674,Other,2021-01-08,Resolved
161,1476,Other,2021-03-20,Pending
162,9845,Other,2022-12-27,Unknown
163,2266,Other,2022-05-29,Unknown
164,2246,Other,2023-11-13,Resolved
165,3762,Transaction,2022-08-12,Resolved
166,4716,Other,2022-06-06,Resolved
167,6566,Other,2021-08-22,Unknown
168,5770,Transaction,2021-04-03,Pending
169,558,Loan,2022-08-10,Unknown
170,1725,Transaction,2021-12-18,In_Progress
171,4878,Loan,2022-09-13,Resolved
172,9674,Service,2023-12-01,In_Progress
173,1757,Loan,2021-11-25,Pending
174,905,Transaction,2023-02-13,Resolved
175,6398,Service,2022-07-31,Resolved
176,9238,Transaction,2022-02-16,Resolved
177,5060,Transaction,2022-05-08,Resolved
178,1881,Transaction,2022-07-07,Pending
179,7791,Transaction,2021-09-07,Pending
180,1714,Service,2023-06-13,Unknown
181,5487,Service,2023-11-25,Resolved
182,7945,Other,2023-09-27,Unknown
183,3439,Other,2022-05-20,Resolved
184,8345,Transaction,2021-03-01,In_Progress
185,8173,Transaction,2021-07-08,Unknown
186,6465,Transaction,2022-07-19,Unknown
187,4934,Other,2021-02-20,Unknown
188,8722,Other,2023-04-11,In_Progress
189,3197,Service,2022-11-14,In_Progress
190,1763,Loan,2023-08-31,Pending
191,3013,Loan,2023-02-14,Unknown
192,4868,Other,2023-09-30,Resolved
193,1726,Other,2021-08-13,Unknown
194,123,Transaction,2021-07-03,Resolved
195,23,Transaction,2023-02-28,Unknown
196,6963,Transaction,2022-09-15,In_Progress
197,1429,Other,2022-07-10,Pending
198,9979,Other,2023-07-10,Pending
199,3674,Other,2023-03-26,Unknown
200,8076,Transaction,2021-11-06,Resolved
201,4068,Other,2023-06-11,Pending
202,3493,Other,2021-03-21,Unknown
203,3672,Other,2022-08-25,Resolved
204,4499,Transaction,2022-08-25,Resolved
205,6774,Other,2023-10-26,Resolved
206,4331,Loan,2021-01-12,Unknown
207,5903,Service,2021-05-05,Pending
208,742,Transaction,2023-02-27,Resolved
209,6578,Loan,2022-03-29,Unknown
210,1472,Transaction,2021-02-19,Unknown
211,2209,Other,2022-10-26,Unknown
212,7067,Transaction,2023-10-07,Resolved
213,9545,Other,2022-01-29,Pending
214,2913,Transaction,2022-04-02,In_Progress
215,3003,Loan,2023-11-03,Unknown
216,7140,Other,2022-12-29,Pending
217,6000,Service,2021-11-13,Unknown
218,8003,Transaction,2023-07-04,In_Progress
219,5544,Transaction,2023-11-12,Unknown
220,6421,Transaction,2022-12-07,In_Progress
221,6187,Other,2023-10-22,Unknown
222,2230,Other,2023-12-20,In_Progress
223,7342,Other,2021-07-08,Unknown
224,9902,Transaction,2023-06-08,Pending
225,8664,Transaction,2021-01-23,Unknown
226,7038,Transaction,2022-01-25,Resolved
227,4983,Other,2022-01-06,Unknown
228,8039,Other,2022-05-26,In_Progress
229,7456,Service,2023-11-08,Resolved
230,5082,Other,2023-03-29,Pending
231,4764,Other,2021-12-23,In_Progress
232,2014,Service,2023-01-07,Resolved
233,6172,Transaction,2021-09-17,Unknown
234,4440,Transaction,2021-11-08,In_Progress
235,7195,Loan,2022-08-20,In_Progress
236,2873,Other,2021-02-15,Unknown
237,2285,Loan,2022-06-22,Pending
238,9131,Transaction,2021-08-08,Resolved
239,2280,Other,2021-12-10,Resolved
240,4463,Other,2021-01-15,Unknown
241,3053,Service,2023-05-17,Unknown
242,4856,Loan,2023-02-16,Resolved
243,8616,Other,2022-04-30,Unknown
244,9112,Other,2021-01-31,Resolved
245,4587,Other,2022-01-13,Resolved
246,9411,Service,2023-08-03,Resolved
247,9242,Other,2023-05-05,Pending
248,5531,Loan,2023-08-25,Unknown
249,4874,Transaction,2023-12-11,Resolved
250,887,Other,2021-02-27,Resolved
251,4027,Other,2022-12-22,Resolved
252,5179,Other,2021-07-15,Resolved
253,5336,Loan,2022-12-18,Pending
254,6393,Loan,2022-10-01,Unknown
255,5741,Transaction,2023-09-03,Resolved
256,6131,Loan,2021-06-28,Resolved
257,382,Other,2021-10-01,In_Progress
258,8833,Transaction,2021-09-27,Resolved
259,7149,Loan,2021-02-08,Resolved
260,6600,Other,2023-04-02,Resolved
261,5389,Other,2022-02-19,Pending
262,5637,Transaction,2022-03-26,Unknown
263,3497,Service,2021-11-21,Pending
264,5801,Other,2021-10-27,Resolved
265,7221,Service,2021-09-20,Unknown
266,4556,Service,2021-11-03,Unknown
267,8761,Other,2023-12-24,In_Progress
268,4994,Service,2022-02-21,Unknown
269,328,Service,2022-04-21,Unknown
270,6487,Transaction,2022-08-03,Resolved
271,5487,Other,2021-08-31,Unknown
272,829,Transaction,2023-04-23,Resolved
273,7997,Transaction,2021-07-02,Pending
274,5382,Other,2023-01-01,Unknown
275,6487,Other,2021-01-07,Resolved
276,8640,Service,2023-08-09,Resolved
277,4668,Transaction,2023-12-14,Pending
278,8024,Other,2023-01-12,Pending
279,4285,Transaction,2023-01-25,Unknown
280,6268,Service,2021-03-29,In_Progress
281,990,Transaction,2022-03-06,Unknown
282,5135,Other,2023-02-01,In_Progress
283,278,Other,2022-06-20,In_Progress
284,6351,Other,2021-07-03,Pending
285,8451,Other,2023-08-31,Pending
286,8789,Service,2023-11-02,Unknown
287,1973,Other,2022-04-25,Resolved
288,6528,Transaction,2023-09-10,Resolved
289,9907,Other,2022-12-24,In_Progress
290,8371,Other,2023-07-04,Pending
291,2542,Other,2022-04-27,Unknown
292,6636,Other,2021-02-13,Resolved
293,4277,Transaction,2022-05-05,Resolved
294,662,Other,2023-09-10,Pending
295,7351,Transaction,2023-07-13,In_Progress
296,8289,Service,2023-03-03,In_Progress
297,9392,Loan,2022-01-09,Resolved
298,1494,Loan,2023-02-22,In_Progress
299,8155,Other,2021-04-10,In_Progress
300,9090,Other,2023-03-05,Unknown
301,7702,Transaction,2021-07-20,Unknown
302,838,Other,2022-10-02,Unknown
303,8771,Service,2021-12-27,Unknown
304,4868,Service,2022-08-07,Unknown
305,318,Other,2023-09-10,Unknown
306,9869,Other,2023-08-01,Resolved
307,7909,Service,2021-04-26,In_Progress
308,1427,Other,2022-10-19,Pending
309,2349,Other,2022-09-07,Unknown
310,6118,Transaction,2022-10-24,Unknown
311,561,Loan,2022-10-13,In_Progress
312,2604,Loan,2023-01-08,Unknown
313,7432,Other,2023-04-30,Unknown
314,7562,Other,2022-03-03,Unknown
315,7061,Service,2023-01-31,Pending
316,787,Loan,2021-04-08,In_Progress
317,6203,Transaction,2021-05-01,Pending
318,5870,Transaction,2022-11-14,Resolved
319,4780,Other,2023-08-27,Resolved
320,8532,Service,2021-12-26,In_Progress
321,6767,Transaction,2021-11-06,In_Progress
322,8429,Other,2023-03-20,Unknown
323,3133,Loan,2022-07-27,Pending
324,886,Transaction,2022-01-05,Unknown
325,9982,Service,2022-11-13,Resolved
326,3101,Other,2022-10-17,Unknown
327,5867,Transaction,2023-04-25,In_Progress
328,3674,Other,2022-02-07,In_Progress
329,7060,Transaction,2022-05-06,Unknown
330,5756,Loan,2021-03-20,In_Progress
331,757,Other,2022-07-12,In_Progress
332,7922,Other,2021-08-13,Pending
333,8518,Transaction,2021-03-07,In_Progress
334,1264,Other,2021-01-06,Resolved
335,735,Other,2021-11-26,Unknown
336,3900,Other,2023-01-23,Unknown
337,3916,Other,2021-12-29,In_Progress
338,6384,Other,2021-01-19,Unknown
339,3700,Service,2023-11-21,Resolved
340,6936,Loan,2021-09-17,Resolved
341,6714,Transaction,2021-07-09,Unknown
342,3603,Transaction,2021-05-22,Resolved
343,5873,Other,2022-07-19,Unknown
344,9849,Service,2021-08-05,Unknown
345,3369,Other,2021-10-21,Resolved
346,8238,Service,2022-03-20,In_Progress
347,7219,Service,2021-01-09,Resolved
348,9314,Transaction,2023-04-25,In_Progress
349,6138,Service,2023-02-06,Pending
350,2051,Other,2021-12-28,Unknown
351,4159,Service,2022-03-17,Unknown
352,6566,Transaction,2021-01-08,In_Progress
353,2426,Service,2023-11-18,Resolved
354,2298,Loan,2022-04-10,Resolved
355,7231,Other,2022-05-07,Unknown
356,4685,Transaction,2021-12-09,Resolved
357,6153,Transaction,2023-01-27,Resolved
358,6814,Other,2021-02-22,Resolved
359,1720,Other,2022-08-13,Resolved
360,1743,Other,2022-08-30,Resolved
361,9399,Loan,2022-09-19,Resolved
362,4041,Other,2022-03-18,Unknown
363,4256,Other,2022-10-18,In_Progress
364,8327,Transaction,2022-06-28,Unknown
365,6948,Loan,2023-01-27,Unknown
366,5381,Transaction,2023-12-07,Pending
367,3711,Other,2023-06-14,Pending
368,649,Transaction,2021-01-22,Resolved
369,282,Service,2021-07-24,In_Progress
370,6132,Service,2022-12-28,Resolved
371,4357,Other,2021-02-19,In_Progress
372,6315,Other,2023-08-01,Resolved
373,7926,Transaction,2023-01-23,Resolved
374,1778,Other,2022-01-30,Unknown
375,6512,Transaction,2023-02-25,Unknown
376,5256,Other,2023-11-09,Resolved
377,7392,Other,2023-04-06,Resolved
378,6732,Service,2022-06-18,Pending
379,8794,Other,2021-10-10,Unknown
380,2324,Transaction,2021-01-02,Resolved
381,2920,Other,2022-08-12,Resolved
382,2392,Transaction,2022-10-23,Unknown
383,2786,Other,2021-02-11,In_Progress
384,3912,Other,2023-12-23,Resolved
385,661,Transaction,2021-09-17,In_Progress
386,500,Other,2022-02-24,In_Progress
387,8951,Other,2022-04-19,Unknown
388,1110,Other,2022-05-07,Resolved
389,1621,Service,2021-08-24,Pending
390,1708,Transaction,2023-05-24,Resolved
391,3416,Other,2023-02-22,Resolved
392,1105,Other,2022-03-12,Unknown
393,395,Other,2023-11-14,Unknown
394,7880,Service,2022-02-08,Unknown
395,8262,Other,2023-10-05,In_Progress
396,4519,Transaction,2023-10-09,In_Progress
397,2182,Service,2022-07-30,Unknown
398,4102,Service,2023-03-06,In_Progress
399,6299,Loan,2022-07-18,Pending
400,5208,Other,2021-05-26,In_Progress
401,6856,Transaction,2023-03-28,Resolved
402,67,Transaction,2022-03-14,Resolved
403,332,Transaction,2022-03-30,Unknown
404,7005,Loan,2021-07-31,In_Progress
405,3882,Other,2021-08-16,In_Progress
406,8537,Loan,2023-08-24,Resolved
407,752,Other,2021-01-16,Pending
408,6159,Loan,2022-04-11,Unknown
409,6834,Other,2022-05-22,Pending
410,3658,Transaction,2022-12-29,Resolved
411,9142,Other,2022-11-19,Unknown
412,7974,Transaction,2023-11-17,Unknown
413,7237,Loan,2021-02-18,Resolved
414,173,Service,2021-09-04,Resolved
415,6096,Other,2022-12-15,In_Progress
416,7836,Other,2023-05-19,In_Progress
417,2495,Other,2022-04-26,In_Progress
418,8926,Loan,2022-03-17,Pending
419,9929,Other,2022-05-14,Resolved
420,5401,Other,2021-04-16,Resolved
421,6546,Service,2022-06-22,Unknown
422,7731,Loan,2023-05-15,Unknown
423,4492,Other,2021-04-19,In_Progress
424,6273,Other,2021-12-18,Unknown
425,8465,Loan,2021-10-18,Pending
426,9496,Transaction,2021-10-15,Pending
427,6309,Loan,2022-05-20,Unknown
428,2596,Service,2021-10-21,Pending
429,2205,Transaction,2021-12-05,Resolved
430,2988,Transaction,2023-10-19,Resolved
431,5332,Transaction,2021-11-02,Pending
432,7112,Other,2021-10-04,Unknown
433,4656,Other,2021-06-13,Resolved
434,6806,Service,2022-10-03,Unknown
435,9241,Transaction,2023-11-10,Pending
436,6985,Transaction,2023-12-03,Resolved
437,3153,Transaction,2023-11-12,Resolved
438,6359,Transaction,2023-06-05,Unknown
439,2328,Loan,2021-09-09,Resolved
440,8682,Transaction,2021-04-14,Pending
441,7555,Service,2022-05-23,Unknown
442,1295,Service,2021-08-28,Resolved
443,9469,Transaction,2022-11-19,Unknown
444,9218,Transaction,2023-01-22,Resolved
445,2239,Transaction,2023-06-07,Resolved
446,6043,Service,2022-11-30,In_Progress
447,8644,Other,2022-08-13,Pending
448,4308,Loan,2023-07-03,Pending
449,7506,Other,2022-01-04,In_Progress
450,4336,Service,2021-09-08,Resolved
451,8705,Other,2021-02-04,Resolved
452,9152,Loan,2022-02-04,Pending
453,3966,Other,2023-07-08,Resolved
454,9391,Other,2021-12-22,Resolved
455,2155,Service,2023-12-08,Resolved
456,4626,Other,2023-01-07,Resolved
457,5850,Other,2023-06-14,Pending
458,8464,Loan,2022-03-20,Unknown
459,8891,Other,2022-04-21,Resolved
460,8994,Transaction,2023-03-12,Resolved
461,7980,Transaction,2023-01-28,Unknown
462,2945,Other,2022-07-24,Unknown
463,4019,Service,2023-06-24,Unknown
464,934,Other,2022-10-23,Pending
465,9736,Transaction,2021-04-06,Unknown
466,3557,Transaction,2021-10-11,Unknown
467,2140,Transaction,2022-02-03,Resolved
468,176,Service,2021-12-13,Resolved
469,8825,Other,2023-04-28,Unknown
470,2579,Service,2023-03-10,Unknown
471,4535,Service,2023-11-23,Unknown
472,6617,Transaction,2021-10-11,In_Progress
473,725,Loan,2022-07-22,Resolved
474,1638,Service,2021-06-17,Resolved
475,6671,Transaction,2021-01-22,Resolved
476,4439,Loan,2023-06-09,Pending
477,6175,Transaction,2021-02-27,Pending
478,8035,Loan,2021-07-31,Resolved
479,4808,Other,2021-05-09,Unknown
480,1246,Transaction,2023-09-02,Unknown
481,7996,Other,2023-09-05,Unknown
482,170,Other,2021-03-29,In_Progress
483,6067,Other,2023-03-08,Unknown
484,9810,Other,2022-08-22,Resolved
485,7161,Other,2023-05-22,Pending
486,3821,Other,2021-02-13,Resolved
487,9247,Loan,2023-10-09,Resolved
488,8523,Transaction,2023-12-19,Unknown
489,2320,Transaction,2022-11-01,Pending
490,7404,Loan,2021-03-12,Unknown
491,3132,Transaction,2021-09-01,In_Progress
492,6002,Transaction,2023-12-04,In_Progress
493,1095,Other,2021-12-07,Unknown
494,8335,Other,2023-03-17,Unknown
495,3059,Other,2023-11-23,Pending
496,3193,Loan,2021-03-31,Pending
497,2680,Service,2022-07-06,Resolved
498,5580,Loan,2021-05-21,Unknown
499,8906,Loan,2023-12-03,In_Progress
500,8314,Service,2022-07-31,Unknown
501,5738,Service,2022-06-30,Resolved
502,5852,Transaction,2022-03-18,Resolved
503,7502,Loan,2023-11-10,Unknown
504,3632,Other,2022-12-03,Resolved
505,9277,Loan,2023-01-24,Resolved
506,2355,Transaction,2022-08-19,Pending
507,4989,Transaction,2021-06-17,Pending
508,5328,Other,2023-10-08,Resolved
509,8249,Service,2022-09-04,In_Progress
510,1357,Transaction,2022-04-23,Unknown
511,1054,Service,2021-01-29,Pending
512,677,Transaction,2021-04-30,Unknown
513,6994,Loan,2021-08-14,Pending
514,8710,Loan,2023-12-02,Resolved
515,7164,Loan,2021-04-01,Resolved
516,5786,Transaction,2022-04-24,Pending
517,157,Other,2023-01-03,Resolved
518,9748,Other,2021-01-13,Pending
519,7180,Transaction,2022-07-25,Unknown
520,3688,Loan,2023-08-03,Resolved
521,6364,Transaction,2022-09-27,Pending
522,4114,Other,2023-02-14,Resolved
523,2758,Other,2022-09-01,Unknown
524,5961,Loan,2022-03-10,Unknown
525,9246,Transaction,2021-11-18,Resolved
526,140,Service,2021-10-31,Unknown
527,9413,Transaction,2023-09-22,Resolved
528,6583,Service,2023-10-09,Unknown
529,9511,Other,2022-06-29,Resolved
530,9979,Other,2023-05-06,In_Progress
531,2498,Transaction,2023-06-10,Pending
532,4360,Other,2023-12-03,Unknown
533,2609,Transaction,2023-06-11,Resolved
534,5553,Other,2022-03-03,Resolved
535,9659,Other,2022-03-21,Unknown
536,2399,Other,2022-11-27,Unknown
537,9226,Transaction,2021-05-25,In_Progress
538,5477,Other,2021-12-20,In_Progress
539,9889,Other,2023-01-09,Resolved
540,1599,Service,2022-04-05,In_Progress
541,393,Other,2023-09-22,In_Progress
542,2839,Other,2022-03-15,Unknown
543,5279,Other,2022-07-05,Pending
544,4309,Other,2022-11-08,Pending
545,1859,Loan,2022-07-08,Unknown
546,8715,Transaction,2022-04-21,Resolved
547,3934,Other,2023-10-10,Unknown
548,8537,Other,2023-03-01,Pending
549,2513,Service,2023-09-23,Pending
550,3134,Loan,2022-11-11,Unknown
551,9316,Service,2022-04-15,Pending
552,3825,Other,2022-01-28,Pending
553,9918,Transaction,2023-07-12,Resolved
554,9639,Transaction,2023-01-19,Unknown
555,898,Service,2023-09-21,Resolved
556,9419,Loan,2022-12-15,Unknown
557,8268,Service,2022-04-09,Resolved
558,5764,Loan,2022-11-21,Unknown
559,4629,Other,2022-03-17,Resolved
560,6438,Other,2021-11-28,Resolved
561,675,Other,2021-01-12,Unknown
562,8489,Loan,2023-10-05,Pending
563,1121,Loan,2023-05-27,Resolved
564,1229,Transaction,2023-03-05,Resolved
565,5657,Loan,2023-03-13,Unknown
566,5372,Service,2023-02-18,Unknown
567,3558,Other,2022-01-03,Resolved
568,9074,Loan,2021-03-18,Resolved
569,6745,Other,2023-03-12,Pending
570,8256,Other,2021-06-13,Unknown
571,3701,Service,2021-04-09,Resolved
572,1164,Service,2021-06-23,Pending
573,31,Transaction,2021-10-31,In_Progress
574,6732,Transaction,2022-01-17,Pending
575,8351,Other,2022-01-30,In_Progress
576,6787,Other,2021-08-07,Unknown
577,8994,Other,2023-10-22,Unknown
578,5626,Other,2023-02-27,Resolved
579,3119,Transaction,2023-10-28,Resolved
580,5525,Other,2022-03-27,Pending
581,769,Service,2022-05-17,Unknown
582,8655,Other,2022-01-25,Resolved
583,7198,Other,2023-09-03,Resolved
584,197,Other,2023-12-09,Resolved
585,9396,Service,2021-05-16,Unknown
586,5742,Loan,2021-03-20,In_Progress
587,2306,Transaction,2023-08-10,Resolved
588,2618,Service,2023-03-21,Unknown
589,7898,Loan,2021-11-28,Pending
590,3745,Service,2022-06-25,Pending
591,3183,Other,2022-03-08,Resolved
592,4675,Other,2021-10-20,Unknown
593,6366,Transaction,2022-03-04,Unknown
594,8615,Other,2021-01-03,Resolved
595,1531,Transaction,2023-05-26,Resolved
596,4817,Transaction,2023-01-19,Unknown
597,3190,Other,2022-01-13,Resolved
598,9108,Other,2022-01-01,In_Progress
599,9038,Other,2021-10-05,In_Progress
600,7679,Other,2023-09-23,Unknown
601,4651,Other,2022-05-24,Unknown
602,9594,Service,2021-12-23,In_Progress
603,2880,Loan,2021-11-20,Resolved
604,7427,Loan,2021-09-08,Unknown
605,5240,Other,2022-02-16,Unknown
606,8116,Other,2022-07-08,Unknown
607,3292,Transaction,2022-04-26,Unknown
608,9054,Other,2023-10-09,In_Progress
609,8252,Transaction,2023-11-29,In_Progress
610,922,Loan,2022-07-27,Pending
611,8944,Other,2023-10-15,Resolved
612,9383,Other,2021-10-17,Pending
613,6452,Loan,2021-04-02,Resolved
614,9147,Loan,2022-06-15,Resolved
615,1242,Service,2023-04-08,Resolved
616,423,Transaction,2021-04-06,Resolved
617,3786,Transaction,2021-06-09,Unknown
618,9830,Other,2023-10-15,In_Progress
619,9170,Service,2022-03-10,In_Progress
620,284,Transaction,2023-11-19,Pending
621,6057,Loan,2022-11-07,Unknown
622,8744,Transaction,2023-03-23,Unknown
623,7684,Other,2021-06-15,Resolved
624,3727,Service,2022-11-10,Pending
625,9877,Transaction,2023-04-13,In_Progress
626,7503,Transaction,2022-10-11,Unknown
627,3530,Loan,2021-04-25,Unknown
628,5570,Other,2022-09-19,Resolved
629,4875,Transaction,2023-03-01,Pending
630,5922,Other,2023-09-12,Unknown
631,3117,Loan,2023-01-27,In_Progress
632,6805,Other,2022-01-07,Pending
633,1718,Other,2021-05-02,Unknown
634,2858,Other,2023-01-24,Unknown
635,9047,Transaction,2023-04-27,Unknown
636,4402,Loan,2022-02-07,In_Progress
637,3980,Service,2021-01-09,Unknown
638,8378,Other,2022-04-21,Unknown
639,1569,Other,2022-11-01,Pending
640,2436,Transaction,2022-09-18,Unknown
641,7025,Transaction,2022-08-19,Unknown
642,5590,Transaction,2022-09-19,Resolved
643,9161,Transaction,2021-06-11,In_Progress
644,8864,Service,2021-01-18,Pending
645,8961,Service,2022-10-05,Unknown
646,4344,Service,2023-11-15,Resolved
647,4198,Other,2021-01-12,Resolved
648,1451,Other,2022-09-15,Pending
649,4869,Service,2023-09-15,Pending
650,9123,Other,2022-06-09,Resolved
651,1015,Other,2022-09-23,Unknown
652,1976,Transaction,2021-01-12,Resolved
653,8430,Other,2023-08-04,Pending
654,2718,Other,2023-11-10,Resolved
655,9345,Service,2022-02-20,Pending
656,2287,Service,2022-06-27,Resolved
657,6244,Other,2023-11-04,Unknown
658,5046,Transaction,2023-06-02,In_Progress
659,2042,Other,2021-03-04,Pending
660,4059,Service,2023-07-25,Resolved
661,6970,Other,2023-09-06,Unknown
662,5519,Other,2023-06-01,Resolved
663,4361,Other,2021-05-21,Resolved
664,4008,Other,2021-09-21,Resolved
665,6176,Other,2021-12-22,In_Progress
666,163,Loan,2021-08-26,Unknown
667,8751,Other,2022-12-03,Resolved
668,5768,Other,2021-10-11,In_Progress
669,5443,Transaction,2023-07-04,Resolved
670,4449,Other,2023-09-10,In_Progress
671,3068,Transaction,2021-02-22,Unknown
672,5291,Service,2021-04-18,In_Progress
673,3151,Service,2022-08-26,Unknown
674,3294,Other,2022-06-26,Pending
675,2234,Transaction,2023-11-11,Unknown
676,1859,Transaction,2022-03-01,In_Progress
677,1629,Other,2023-06-07,Pending
