loan_id,customer_id,loan_type,loan_amount,installments,loan_status
99,7491,Auto,21540.57,33,Defaulted
100,4584,Auto,37177.78,19,Paid
101,3035,Personal,5850.88,49,Default
102,4439,Business,36285.13,27,Paid
103,5740,Personal,39482.77,33,Default
104,9439,Personal,36042.89,52,In_Progress
105,1634,Personal,34175.79,9,Default
106,1996,Personal,20126.55,40,Default
107,6641,Auto,24695.59,45,Paid
108,2351,Mortgage,11380.25,11,Paid
109,3557,Auto,34918.86,22,Defaulted
110,629,Personal,11243.47,43,Defaulted
111,53,Mortgage,28340.45,53,Default
112,1811,Personal,37600.38,39,Defaulted
113,6077,Personal,10038.54,46,Defaulted
114,6353,Mortgage,14272.3,37,Paid
115,1562,Business,22513.97,36,Defaulted
116,1239,Personal,32710.45,19,Paid
117,2905,Personal,16838.31,50,In_Progress
118,4742,Auto,9713.51,18,In_Progress
119,1748,Personal,8623.71,54,Defaulted
120,3747,Personal,13874.32,44,Defaulted
121,4708,Mortgage,20825.84,8,Defaulted
122,6122,Personal,5554.31,26,Default
123,6947,Mortgage,47655.2,18,Paid
124,7085,Personal,49949.67,16,Defaulted
125,4036,Mortgage,43690.29,40,Defaulted
126,2298,Business,41543.78,55,Paid
127,4342,Personal,22027.3,9,In_Progress
128,5403,Personal,17516.11,17,Paid
129,1308,Personal,22210.13,53,Defaulted
130,8118,Personal,1925.31,45,Defaulted
131,5033,Mortgage,8827.6,52,Defaulted
132,9065,Personal,27775.0,20,In_Progress
133,4502,Personal,46429.09,21,Defaulted
134,6041,Personal,46438.05,53,Defaulted
135,1864,Business,36005.44,44,In_Progress
136,8424,Business,24760.04,51,In_Progress
137,3204,Business,14112.83,13,Default
138,6435,Mortgage,21287.37,55,Defaulted
139,4467,Personal,49261.28,46,Defaulted
140,6517,Auto,43003.43,9,Paid
141,740,Mortgage,24740.93,25,Defaulted
142,4561,Personal,42825.07,13,Defaulted
143,4459,Business,37628.42,30,Paid
144,7287,Mortgage,20773.32,55,Defaulted
145,1658,Mortgage,25210.2,9,In_Progress
146,6498,Business,23713.17,52,Default
147,8680,Personal,1711.17,38,Defaulted
148,8158,Personal,16746.49,31,In_Progress
149,9589,Personal,2899.32,10,In_Progress
150,6372,Auto,44360.97,33,Default
151,7974,Auto,29740.72,9,Paid
152,1903,Personal,20799.53,38,Paid
153,1840,Personal,5882.69,46,In_Progress
154,4909,Mortgage,2992.23,29,Paid
155,6752,Business,13552.28,38,Defaulted
156,1392,Business,20394.55,50,Defaulted
157,289,Personal,30340.73,51,Paid
158,4643,Personal,18250.19,32,Defaulted
159,792,Business,24579.22,34,Defaulted
160,159,Business,34315.74,8,In_Progress
161,6817,Personal,3142.22,35,Paid
162,7659,Mortgage,26717.4,42,Defaulted
163,7530,Auto,14954.58,16,Paid
164,6372,Auto,39319.55,33,In_Progress
165,8075,Personal,16823.04,58,Defaulted
166,2813,Personal,9320.47,7,In_Progress
167,1787,Personal,39681.57,28,Defaulted
168,2095,Personal,38670.53,42,In_Progress
169,9667,Personal,23732.5,14,Paid
170,7665,Auto,10028.79,36,Defaulted
171,8,Business,24175.05,17,Defaulted
172,7329,Business,22650.88,13,Defaulted
173,6483,Business,8207.54,17,Defaulted
174,227,Personal,18783.64,6,Paid
175,7977,Personal,40915.29,53,Paid
176,4077,Auto,25648.36,54,Defaulted
177,6920,Personal,7341.22,52,Paid
178,5756,Personal,44342.16,16,Default
179,7194,Personal,37456.61,9,In_Progress
180,358,Mortgage,27616.46,19,Paid
181,3939,Business,14103.04,36,Defaulted
182,6084,Mortgage,5740.7,8,Defaulted
183,6406,Mortgage,37170.57,41,Default
184,98,Auto,31737.31,11,Defaulted
185,6387,Business,41162.66,39,In_Progress
186,4112,Personal,34765.92,57,Defaulted
187,1738,Personal,8572.24,25,Paid
188,526,Personal,23170.26,44,Defaulted
189,3193,Mortgage,16292.1,36,Defaulted
190,391,Mortgage,43407.3,39,In_Progress
191,3906,Personal,14410.55,28,Default
192,3613,Personal,25271.39,47,Defaulted
193,4539,Auto,27869.14,53,Paid
194,8656,Mortgage,31642.68,23,Defaulted
195,9458,Mortgage,32127.3,19,Paid
196,6735,Auto,32636.16,45,In_Progress
197,412,Personal,18413.56,26,Paid
198,6654,Personal,25782.0,34,Default
199,9454,Personal,3863.21,57,Paid
200,3590,Mortgage,26845.85,10,Paid
201,6278,Personal,31481.64,23,Paid
202,7451,Personal,37474.53,11,Paid
203,5813,Personal,8217.9,26,Defaulted
204,1001,Mortgage,31374.55,42,Defaulted
205,7185,Personal,17041.4,58,Paid
206,2417,Mortgage,20786.84,10,Defaulted
207,9534,Personal,24266.35,14,Defaulted
208,7490,Personal,7317.81,37,Paid
209,6862,Auto,12760.04,42,Paid
210,7445,Business,4095.8,52,Paid
211,3939,Personal,48735.02,30,Paid
212,8639,Auto,10347.53,27,Paid
213,7716,Auto,32053.13,9,In_Progress
214,8365,Personal,6660.11,44,Paid
215,949,Personal,35150.65,30,Paid
216,4032,Auto,43874.63,17,Paid
217,647,Personal,24288.41,36,In_Progress
218,8301,Auto,34637.36,49,In_Progress
219,7026,Personal,33372.33,55,Default
220,9436,Mortgage,33034.94,6,Defaulted
221,5152,Business,6188.58,27,Defaulted
222,2451,Mortgage,41018.93,41,Defaulted
223,4892,Personal,29716.22,38,Defaulted
224,2902,Auto,12118.52,47,Paid
225,8002,Mortgage,22553.49,28,Defaulted
226,5845,Auto,36527.88,39,Paid
227,1734,Mortgage,32481.39,49,Defaulted
228,4065,Personal,8478.47,25,In_Progress
229,7662,Personal,30440.73,37,Default
230,2883,Personal,25919.17,11,Default
231,7744,Business,33047.14,27,Paid
232,5701,Mortgage,39436.54,17,Default
233,9556,Personal,17121.97,28,In_Progress
234,3041,Personal,21037.27,40,Paid
235,8644,Mortgage,30124.28,54,In_Progress
236,5860,Personal,39324.61,19,Defaulted
237,8735,Auto,31228.48,17,Defaulted
238,1795,Mortgage,1723.05,53,Defaulted
239,2895,Mortgage,49559.29,35,Paid
240,3825,Personal,2394.51,27,Default
241,5624,Auto,43545.23,21,Defaulted
242,6027,Mortgage,45377.85,27,In_Progress
243,2419,Business,11521.87,34,Paid
244,3503,Personal,38986.94,51,Paid
245,9767,Personal,24361.81,47,In_Progress
246,6121,Mortgage,21459.75,12,Defaulted
247,6775,Auto,8194.22,20,Defaulted
248,2100,Personal,23553.77,7,Defaulted
249,8577,Personal,32239.23,27,Defaulted
250,3232,Personal,25407.19,20,Defaulted
251,531,Mortgage,11972.87,24,Defaulted
252,3771,Personal,24862.14,32,Defaulted
253,4009,Auto,43784.86,28,Defaulted
254,8149,Auto,41071.99,35,Defaulted
255,2164,Business,10397.3,58,Defaulted
256,2774,Personal,24976.42,30,Default
257,3310,Business,30587.22,45,Paid
258,1035,Auto,27069.63,26,Defaulted
259,711,Personal,33369.7,32,Defaulted
260,2758,Personal,34531.8,24,In_Progress
261,5529,Personal,20803.57,31,In_Progress
262,417,Mortgage,12854.41,54,Defaulted
263,4447,Mortgage,22669.32,38,In_Progress
264,656,Auto,6293.69,41,Defaulted
265,7853,Business,37621.53,8,Defaulted
266,5018,Personal,39002.66,44,Paid
267,9111,Mortgage,47218.16,30,Defaulted
268,9133,Auto,45049.89,18,Defaulted
269,6385,Personal,7238.41,19,Defaulted
270,6923,Personal,27750.24,45,Default
271,1258,Personal,35570.85,15,Paid
272,4723,Personal,41585.82,29,Defaulted
273,6686,Business,15605.72,48,Paid
274,7961,Auto,49359.44,55,Paid
275,1388,Auto,25712.16,41,In_Progress
276,3221,Personal,23652.51,27,Default
277,130,Personal,21676.07,39,Defaulted
278,1285,Mortgage,9722.15,19,In_Progress
279,2882,Mortgage,28346.27,14,Paid
280,5312,Auto,7109.07,55,Paid
281,8654,Personal,42333.12,17,Defaulted
282,1426,Mortgage,3359.23,27,Defaulted
283,9675,Auto,42773.84,38,Paid
284,3642,Personal,40730.74,23,Paid
285,3388,Mortgage,15734.06,36,Defaulted
286,4367,Personal,2746.96,17,In_Progress
287,3157,Personal,44338.72,43,Paid
288,2501,Business,40411.87,39,In_Progress
289,7634,Personal,32099.43,20,Default
290,2982,Business,3696.6,45,Paid
291,2970,Personal,25928.22,6,Defaulted
292,4045,Mortgage,46768.9,58,Paid
293,5759,Personal,6234.44,36,Paid
294,3713,Mortgage,25988.32,15,Paid
295,1535,Auto,40367.91,39,Defaulted
296,8331,Auto,33397.44,53,Defaulted
297,5445,Business,20328.53,42,Paid
298,4605,Personal,44707.94,18,Paid
299,1921,Personal,26826.94,43,Defaulted
300,9811,Personal,43574.78,50,Defaulted
301,2482,Mortgage,30969.74,15,Paid
302,5445,Personal,16333.31,52,Defaulted
303,1534,Auto,45036.98,27,Paid
304,6860,Mortgage,44103.26,43,In_Progress
305,7100,Mortgage,16028.87,31,Default
306,8101,Personal,11600.87,16,In_Progress
307,4247,Mortgage,48960.68,54,Defaulted
308,1541,Personal,24204.87,38,In_Progress
309,5463,Personal,49883.88,15,Defaulted
310,8408,Personal,13432.48,36,Defaulted
311,9553,Personal,5965.94,26,Defaulted
312,8836,Auto,1375.16,51,Defaulted
313,9105,Personal,16297.58,39,Defaulted
314,123,Personal,29656.16,30,Paid
315,8862,Personal,13189.99,14,Default
316,54,Auto,29212.23,23,Paid
317,1113,Auto,3761.62,35,Default
318,6993,Personal,48554.17,26,Paid
319,8014,Auto,18020.84,55,Paid
320,4631,Personal,48692.19,34,Defaulted
321,9489,Mortgage,27195.62,45,Paid
322,2491,Personal,23847.44,22,Defaulted
323,4660,Personal,5390.59,9,In_Progress
324,4305,Personal,5153.68,53,In_Progress
325,5238,Personal,26170.65,38,Defaulted
326,1870,Auto,16600.91,28,Default
327,2747,Business,10125.22,12,Default
328,3663,Personal,7632.27,39,Defaulted
329,7187,Personal,28374.3,29,Defaulted
330,2373,Mortgage,15760.96,12,In_Progress
331,5393,Personal,40488.27,13,Defaulted
332,9319,Personal,5404.92,8,Defaulted
333,1158,Auto,1399.32,45,Paid
334,9391,Personal,47157.05,56,Defaulted
335,4853,Personal,1845.61,50,Defaulted
336,8081,Personal,43137.64,54,Defaulted
337,1825,Personal,44137.96,32,Paid
338,3211,Auto,47394.44,9,Paid
339,6817,Business,25244.63,7,In_Progress
340,6172,Personal,31564.32,10,Defaulted
341,6250,Personal,18947.45,15,Defaulted
342,7721,Auto,48615.58,42,Paid
343,9349,Personal,36859.33,14,Defaulted
344,6741,Personal,36309.32,13,In_Progress
345,7454,Personal,18317.8,8,In_Progress
346,5210,Personal,15757.38,34,Paid
347,2104,Mortgage,28311.22,50,Paid
348,3843,Personal,4984.01,20,Default
349,5589,Personal,21527.86,38,Default
350,8693,Personal,27067.55,47,In_Progress
351,1159,Mortgage,37759.59,21,Paid
352,2616,Personal,29011.01,47,Defaulted
353,9143,Personal,20110.58,16,In_Progress
354,4327,Personal,2369.16,11,Default
355,7630,Mortgage,35712.28,53,Paid
356,784,Personal,38623.84,54,Default
357,8105,Personal,42856.66,13,Defaulted
358,4136,Mortgage,10708.63,58,Default
359,2231,Auto,25737.62,48,Paid
360,7806,Personal,23559.7,14,Defaulted
361,8487,Mortgage,38279.35,56,Paid
362,5272,Personal,25646.11,19,Defaulted
363,9535,Personal,40094.26,29,Defaulted
364,1258,Personal,5061.65,13,Default
365,4462,Mortgage,3630.15,38,Default
366,1502,Mortgage,14067.92,34,Defaulted
367,52,Personal,24241.03,7,In_Progress
368,1585,Personal,37810.64,23,Paid
369,1602,Personal,18909.99,28,Default
370,1679,Business,37314.94,51,In_Progress
371,2105,Personal,41738.15,58,Default
372,9009,Personal,25625.65,36,In_Progress
373,5819,Mortgage,47946.16,27,Paid
374,4042,Auto,8459.65,57,Paid
375,2240,Auto,15486.77,49,Paid
376,5546,Auto,49880.44,50,Paid
377,3653,Mortgage,9171.38,25,Defaulted
378,1823,Mortgage,45654.55,43,Defaulted
379,7566,Personal,46090.58,50,Default
380,710,Auto,32331.58,21,Default
381,6241,Auto,3399.49,56,Paid
382,557,Personal,25958.69,59,Paid
383,4589,Business,4391.78,28,In_Progress
384,9878,Personal,17245.13,52,Paid
385,5848,Personal,1847.6,30,Defaulted
386,9315,Auto,3247.1,42,Paid
387,5288,Auto,35163.05,24,Default
388,494,Personal,49130.07,24,Paid
389,533,Business,39346.15,43,Paid
390,7098,Personal,20405.0,41,Default
391,6083,Auto,17531.12,7,In_Progress
392,3784,Business,49700.59,12,Default
393,5774,Personal,12355.95,25,In_Progress
394,5311,Personal,2894.97,9,Paid
395,6380,Personal,13798.18,31,In_Progress
396,6379,Personal,17742.18,16,Default
397,5002,Personal,24912.11,57,Default
398,4193,Auto,35194.08,22,In_Progress
399,1208,Personal,33147.46,42,Defaulted
400,2820,Auto,31799.54,48,In_Progress
401,1139,Auto,44517.37,20,Default
402,1417,Business,29450.51,17,Paid
403,5821,Business,9619.84,45,In_Progress
404,65,Mortgage,18687.52,55,Paid
405,6359,Personal,33946.84,22,Default
406,3576,Business,26736.99,46,Default
407,3149,Personal,29363.87,21,Defaulted
408,5597,Auto,15616.67,53,Default
409,7480,Personal,15121.7,21,In_Progress
410,350,Business,23067.4,40,In_Progress
411,6055,Mortgage,2660.57,8,Defaulted
412,1613,Auto,22203.18,50,In_Progress
413,4831,Personal,25056.79,49,Defaulted
414,4493,Business,3951.01,33,Paid
415,3866,Personal,2606.05,14,Default
416,2137,Mortgage,1443.34,16,Default
417,8879,Mortgage,18726.97,32,Defaulted
418,7812,Mortgage,25415.44,57,Default
419,4166,Auto,9466.97,15,Defaulted
420,3398,Auto,44884.95,17,Default
421,4267,Business,29581.27,40,In_Progress
422,6567,Personal,30280.74,50,Paid
423,5023,Personal,4222.95,40,Default
424,841,Personal,4936.62,36,Defaulted
425,3074,Personal,25730.86,49,Paid
426,519,Auto,38363.34,22,In_Progress
427,9729,Personal,42094.98,54,In_Progress
428,4743,Mortgage,27512.82,52,Paid
429,3081,Mortgage,29870.05,57,Defaulted
430,2521,Personal,31106.69,23,Defaulted
431,1584,Personal,16210.05,42,Defaulted
432,4919,Business,48794.82,11,Default
433,4813,Business,48814.45,55,Paid
434,1340,Personal,31615.8,22,In_Progress
435,8314,Auto,19561.41,8,Defaulted
436,5446,Personal,42629.67,43,Defaulted
437,1614,Personal,9591.37,38,In_Progress
438,305,Auto,30574.77,51,Defaulted
439,4766,Auto,39668.98,49,Defaulted
440,5213,Personal,1200.19,25,Defaulted
441,7234,Business,22156.01,46,Paid
442,6686,Personal,13835.37,44,In_Progress
443,8856,Mortgage,40115.27,21,Defaulted
444,7504,Personal,46256.07,41,In_Progress
445,5943,Personal,9489.11,12,Paid
446,1179,Mortgage,9805.55,7,Default
447,7236,Personal,48132.35,45,Paid
448,956,Personal,26086.63,39,Defaulted
449,379,Personal,5792.52,9,Defaulted
450,9696,Mortgage,4726.48,54,Paid
451,9136,Mortgage,48251.02,22,Defaulted
452,1389,Mortgage,22166.46,12,Paid
453,5673,Mortgage,47165.65,17,Defaulted
454,9924,Personal,29266.93,17,Paid
455,2210,Personal,36386.81,15,Defaulted
456,5282,Business,14673.0,49,In_Progress
457,3292,Business,4308.69,30,Defaulted
458,5633,Personal,39522.08,54,Paid
459,5862,Personal,9244.97,10,Paid
460,9043,Personal,36100.68,22,Defaulted
461,3035,Mortgage,4701.86,43,Defaulted
462,427,Personal,29190.73,55,In_Progress
463,7795,Personal,37905.17,58,Defaulted
464,443,Personal,1938.49,16,Paid
465,5964,Personal,20031.73,50,Default
466,4417,Personal,29831.06,27,Default
467,6511,Business,40116.61,25,Paid
468,7425,Mortgage,13643.64,56,Paid
469,3245,Personal,40995.2,37,Defaulted
470,2122,Auto,32747.63,28,Defaulted
471,1663,Business,17991.23,28,Defaulted
472,5550,Personal,15678.26,7,Paid
473,4197,Personal,35398.84,50,In_Progress
474,2095,Auto,36479.71,8,Paid
475,4795,Mortgage,32215.62,38,Defaulted
476,7004,Mortgage,22762.19,10,Paid
477,9680,Personal,2080.23,28,In_Progress
478,5185,Business,29126.34,56,Paid
479,2756,Auto,30997.23,30,Paid
480,570,Personal,12771.31,29,Paid
481,830,Personal,10957.39,35,Defaulted
482,4030,Auto,43349.95,56,Paid
483,1905,Business,9812.81,35,Paid
484,3180,Personal,11279.5,13,In_Progress
485,2979,Personal,31519.21,51,Default
486,8908,Personal,16636.94,54,Paid
487,6939,Personal,22616.03,41,In_Progress
488,7864,Personal,26974.74,34,Default
489,3115,Personal,46619.85,26,Defaulted
490,6053,Auto,13766.94,21,In_Progress
491,2088,Mortgage,3181.41,59,In_Progress
492,2302,Personal,6676.59,28,Paid
493,2745,Auto,3529.16,34,Paid
494,6500,Personal,37952.8,42,Paid
495,8379,Auto,49065.43,31,Defaulted
496,9147,Mortgage,4930.67,50,Paid
497,621,Mortgage,14942.32,29,In_Progress
498,2933,Auto,42835.31,45,Paid
499,7923,Auto,44976.73,31,Paid
500,967,Auto,11597.94,50,Defaulted
501,7552,Business,46027.81,32,Paid
502,4180,Mortgage,29316.94,16,Default
503,7626,Personal,49756.83,56,Paid
504,87,Personal,2101.52,32,Paid
505,10,Mortgage,39511.53,51,Paid
506,3908,Business,3709.01,27,In_Progress
507,5897,Auto,36987.03,6,Paid
508,1435,Personal,47254.83,43,Defaulted
509,2494,Auto,17011.33,32,Paid
510,4986,Business,17605.22,6,Paid
511,2272,Personal,12725.9,20,Defaulted
512,5519,Business,22133.47,16,Default
513,2247,Auto,24167.6,43,In_Progress
514,8386,Mortgage,29021.41,34,Defaulted
515,9346,Mortgage,34732.5,59,Paid
516,4554,Personal,31272.47,35,Paid
517,7057,Mortgage,5847.5,28,Defaulted
518,8525,Personal,31975.06,47,Paid
519,521,Personal,10442.68,31,Paid
520,5584,Personal,27202.53,42,Defaulted
521,3148,Auto,29789.69,56,Default
522,4100,Mortgage,22377.06,23,In_Progress
523,3829,Mortgage,21469.25,20,Default
524,8416,Mortgage,21839.95,45,Paid
525,2947,Personal,12511.09,27,Default
526,3113,Mortgage,40355.69,7,In_Progress
527,7362,Business,24800.25,58,Paid
528,1611,Auto,25753.25,8,In_Progress
529,6322,Business,10046.47,31,Defaulted
530,7740,Personal,24300.4,34,Defaulted
531,6447,Personal,22425.13,34,Paid
532,4436,Auto,21287.21,43,In_Progress
533,6550,Mortgage,22860.64,55,Paid
534,3350,Mortgage,13057.08,28,Paid
535,1881,Business,39950.54,58,Paid
536,3858,Personal,10566.85,44,In_Progress
537,8906,Business,27425.92,28,Defaulted
538,2750,Personal,16799.87,33,Paid
539,7026,Auto,36230.58,53,Paid
540,6629,Auto,34868.34,40,Default
541,9996,Auto,35217.51,7,Defaulted
542,7197,Personal,44381.37,48,Default
543,8451,Personal,39257.68,33,Defaulted
544,1973,Auto,17152.27,57,Paid
545,6609,Personal,20286.86,29,Paid
546,995,Business,43501.98,8,In_Progress
547,2772,Business,41362.54,15,Defaulted
548,5607,Personal,46141.15,39,Defaulted
549,6734,Auto,42093.09,24,Defaulted
550,4083,Personal,7337.39,6,Paid
551,3753,Personal,17182.21,43,Default
552,5370,Business,15334.89,42,In_Progress
553,8056,Mortgage,19570.18,9,In_Progress
554,3045,Auto,15324.61,12,In_Progress
555,2099,Personal,39457.6,8,Defaulted
556,4960,Personal,35339.44,19,In_Progress
557,6414,Personal,10742.59,21,Paid
558,4864,Personal,9811.58,33,Paid
559,1019,Personal,11681.55,33,Paid
560,6027,Mortgage,16389.18,11,Defaulted
561,8905,Personal,34450.9,33,Default
562,7218,Personal,19076.12,23,Defaulted
563,2532,Personal,21786.47,23,Default
564,5501,Personal,3060.74,48,Defaulted
565,7495,Auto,24525.91,20,Defaulted
566,977,Personal,22637.74,19,Defaulted
567,3622,Personal,34496.38,27,Default
568,1355,Personal,10880.33,19,Defaulted
569,8418,Personal,36408.36,24,Default
570,9362,Personal,36171.77,35,Paid
571,6303,Personal,31497.79,24,Default
572,1871,Personal,18545.46,44,Paid
573,8926,Personal,3875.72,38,Paid
574,8939,Personal,12598.93,43,Defaulted
575,5253,Auto,46577.5,37,Default
576,9940,Personal,44082.59,19,Default
577,9728,Personal,10662.21,39,Defaulted
578,831,Business,16743.39,28,Paid
579,850,Personal,1484.39,39,Paid
580,9730,Auto,16214.42,24,In_Progress
581,4428,Personal,40229.01,30,Default
582,9620,Mortgage,28987.67,31,Defaulted
583,369,Mortgage,43575.7,27,Defaulted
584,4858,Mortgage,48113.0,16,Defaulted
585,1097,Personal,11839.21,55,Default
586,8558,Personal,28181.29,36,Paid
587,1699,Auto,38002.46,46,Defaulted
588,8887,Personal,31460.92,10,Defaulted
589,5044,Auto,13752.78,59,Defaulted
590,3551,Business,48880.87,49,Defaulted
591,6189,Personal,34044.09,36,Defaulted
592,3375,Business,1497.64,8,Default
593,6493,Auto,26295.53,25,Paid
594,5499,Personal,9130.61,20,Paid
595,6195,Mortgage,36433.05,36,Defaulted
596,3961,Mortgage,4188.63,10,In_Progress
597,1384,Personal,17692.41,19,Defaulted
598,123,Personal,16361.55,27,Paid
599,9465,Personal,44682.39,52,Paid
600,7226,Personal,43806.77,24,In_Progress
601,7240,Auto,41343.64,47,Defaulted
602,1587,Personal,37567.09,47,Defaulted
603,3457,Personal,47769.91,47,Paid
604,7492,Business,10367.6,12,Default
605,1565,Personal,41177.43,59,Defaulted
606,2962,Mortgage,33999.0,10,Paid
607,7807,Business,35369.68,29,In_Progress
608,2930,Mortgage,21916.36,19,Default
609,5480,Auto,32959.01,23,Paid
610,2688,Personal,12633.16,53,Paid
611,6803,Personal,26980.72,20,In_Progress
612,6833,Personal,48564.02,33,Default
613,6780,Personal,34552.64,38,Defaulted
614,2295,Personal,34097.09,41,Defaulted
615,181,Personal,12530.87,52,Defaulted
616,6267,Personal,42199.91,56,Paid
617,2118,Business,46245.38,26,Defaulted
618,8705,Mortgage,6309.1,22,Default
619,7164,Auto,23169.49,7,In_Progress
620,1259,Personal,33626.61,59,In_Progress
621,539,Mortgage,44292.09,6,In_Progress
622,3219,Personal,27308.17,18,Paid
623,3162,Personal,21583.79,21,In_Progress
624,6524,Mortgage,2923.16,42,In_Progress
625,8500,Personal,28019.24,20,Paid
626,7375,Personal,17136.18,44,Defaulted
627,7878,Personal,49663.44,49,In_Progress
628,63,Auto,30307.07,25,Paid
629,9055,Personal,11515.08,59,Defaulted
630,226,Personal,49637.97,55,In_Progress
631,5373,Auto,29960.62,19,Default
632,241,Personal,38694.75,8,Defaulted
633,7534,Auto,48481.36,20,In_Progress
634,6467,Business,37774.52,49,Paid
635,1771,Personal,47225.36,54,In_Progress
636,340,Business,18739.64,11,Defaulted
637,6181,Personal,3525.79,14,Defaulted
638,9687,Personal,48233.85,48,Defaulted
639,1249,Personal,27838.95,50,Paid
640,5103,Personal,38794.33,6,Paid
641,1575,Mortgage,28018.97,43,Paid
642,9851,Business,38291.23,50,In_Progress
643,2432,Business,3922.32,44,Paid
644,5930,Business,4274.35,36,Defaulted
645,3763,Personal,46070.35,41,In_Progress
646,4022,Personal,22352.51,42,Defaulted
647,4075,Business,15742.98,31,Defaulted
648,8182,Business,45826.99,39,Paid
649,6329,Business,49942.97,27,Paid
650,242,Personal,31096.58,41,Defaulted
651,8326,Personal,28437.57,51,Paid
652,873,Personal,45958.18,22,Default
653,1095,Mortgage,9739.49,15,Defaulted
654,2075,Business,32014.35,54,Defaulted
655,5849,Personal,40508.16,31,Default
656,9801,Mortgage,37233.73,15,Defaulted
657,7318,Business,37670.35,16,Paid
658,9141,Business,40444.81,36,Paid
659,1474,Personal,11405.8,23,Paid
660,1222,Personal,28215.84,33,In_Progress
661,9153,Personal,6381.09,40,Defaulted
662,311,Mortgage,5447.52,54,Default
